dataset,rmse_test,log_mse_test,r2_test,model_size,training time (s)
557_analcatdata_apnea1,1236.9438749790058,14.237845445413543,0.8612614820502369,26.5,3480.4119760990143
560_bodyfat,0.5181259265531919,-1.315383991484253,0.9965006376225212,8.0,3322.565865278244
561_cpu,40.963918946774065,7.424228294916649,0.9339180067689418,14.0,3204.0155487060547
562_cpu_small,4.778640849018679,3.128312311133467,0.9330165004522004,14.0,6590.808688879013
564_fried,1.011040971130385,0.021960916612924597,0.9593171859006742,44.0,8254.788547754288
573_cpu_act,4.230139527524463,2.8844691635962962,0.9468563385728477,14.0,4963.575373888016
574_house_16H,40735.58404515945,21.22968615077282,0.4152503507359635,65.0,8988.792911171913
579_fri_c0_250_5,0.4745048662670873,-1.4910972383875505,0.7390782372120195,32.0,3020.4065042734146
581_fri_c3_500_25,0.2937698263413335,-2.4499804662357256,0.9131381248902146,62.0,2082.012409567833
582_fri_c1_500_25,0.3186500351176647,-2.2876082828290065,0.8998767458392538,59.0,2115.376699924469
583_fri_c1_1000_50,0.2913896995020391,-2.466208112741323,0.9081479571788114,62.0,2273.5417351722717
584_fri_c4_500_25,0.2704053254718196,-2.6157462820806976,0.9240807768391668,62.0,2093.71348464489
586_fri_c3_1000_25,0.3008952052515323,-2.4020422533468904,0.9100027094605554,60.5,2341.622461438179
588_fri_c4_1000_100,0.29506557034741665,-2.4411294637164223,0.9121950345241923,60.5,2210.0454766750336
589_fri_c2_1000_25,0.3284505993344148,-2.227071926485362,0.8892002254287908,71.0,2411.9398832321167
590_fri_c0_1000_50,0.2940423383781646,-2.4480670830430387,0.9141174555540594,50.0,2219.427899956703
591_fri_c1_100_10,0.6086959500598681,-1.0028215077169662,0.5772113509617031,27.5,1988.9871009588242
592_fri_c4_1000_25,0.29983473335718536,-2.4090776371065776,0.9143855166152142,62.0,2328.1711592674255
593_fri_c1_1000_10,0.2760481593662224,-2.5743914684000635,0.9193640623294823,62.0,2980.200267791748
594_fri_c2_100_5,0.6296021797159881,-0.9253360369978194,0.5481039647071073,32.0,2115.2254556417465
595_fri_c0_1000_10,0.2966909927587673,-2.430176351196777,0.9091517518125768,50.0,2835.6158339977264
596_fri_c2_250_5,0.49470290102496484,-1.4075987406965094,0.7287891335856098,30.5,3011.619072675705
597_fri_c2_500_5,0.32300651811216774,-2.2609449470039866,0.8944984113054815,68.0,3293.94502055645
598_fri_c0_1000_25,0.28258846784491065,-2.527647716119464,0.9168347237541922,50.0,2328.6181820631027
599_fri_c2_1000_5,0.29838843559850803,-2.418725884556512,0.9111029941580668,68.0,3692.8328391313557
601_fri_c1_250_5,0.5265207350674705,-1.2829291587983462,0.7210894866630788,32.0,3053.256437063217
602_fri_c3_250_10,0.3106136764214408,-2.3386380354572607,0.9031169589419434,59.0,2316.3388768434525
603_fri_c0_250_50,0.3710375915450974,-1.9855027360221473,0.8492725633490836,50.0,1868.1851868629456
604_fri_c4_500_10,0.31270239112854015,-2.325091862125766,0.8983225791632458,57.5,2579.3714250326157
605_fri_c2_250_25,0.39958690258780577,-1.835116318328674,0.8360837949766797,63.5,1947.9136236906052
606_fri_c2_1000_10,0.3054233031534028,-2.372114018247781,0.9055280424290756,65.0,2912.2903958559036
607_fri_c4_1000_50,0.2983494685035576,-2.41930513472989,0.9074659666066296,65.0,2215.1808878183365
608_fri_c3_1000_10,0.26089046997477894,-2.687538246711906,0.9344902435986794,62.0,2768.578018426895
609_fri_c0_1000_5,0.29468094948784107,-2.443725791244571,0.9171838720483771,50.0,3629.1047327518463
611_fri_c3_100_5,0.4850125959675633,-1.453592535456504,0.7541447687404517,35.0,2061.54272544384
612_fri_c1_1000_5,0.2763756400710654,-2.572465918476776,0.9286593680849173,62.0,3686.5419338941574
613_fri_c3_250_5,0.5308189038150362,-1.2669241561479587,0.7181147166682873,29.0,2841.020598053932
615_fri_c4_250_10,0.3966061263465406,-1.850040932900478,0.8099585831672695,62.0,2200.6788108348846
616_fri_c4_500_50,0.3030781238029921,-2.392205690446419,0.9031757266276677,62.0,2017.810757637024
617_fri_c3_500_5,0.35476973100250586,-2.073468424889035,0.8662216025027459,60.5,3096.254516720772
618_fri_c3_1000_50,0.3198511817478731,-2.280069297923067,0.9009193817671186,62.0,2207.2540825605392
620_fri_c1_1000_25,0.30767730185080033,-2.357412368667255,0.9069402291659794,62.0,2401.550512433052
621_fri_c0_100_10,0.48730944628712985,-1.440796499385683,0.7041649411495203,32.0,1945.2878867387772
622_fri_c2_1000_50,0.31360444618194117,-2.3192605535105777,0.9039866188244707,68.0,2238.667343378067
623_fri_c4_1000_10,0.3097020639928443,-2.3445680692775452,0.9075701704274652,62.0,2727.517947793007
624_fri_c0_100_5,0.5076038373796874,-1.3569918143941444,0.7257163609371943,32.0,2120.109116077423
626_fri_c2_500_50,0.3656881957149313,-2.0120849492948,0.8657705870952161,65.0,2025.2229599952695
627_fri_c2_500_10,0.357061643946607,-2.060921284504511,0.8842951016592593,63.5,2592.138230085373
628_fri_c3_1000_5,0.27847518551855144,-2.557272407084196,0.9189419541901679,62.0,3439.8958770036697
631_fri_c1_500_5,0.30243554843662857,-2.3926716685111638,0.9184962336282517,62.0,3367.5737968683243
633_fri_c0_500_25,0.3017886339494487,-2.396115324972025,0.9081238880212072,50.0,2142.8130259513855
634_fri_c2_100_10,0.6967542067033419,-0.7226480609518436,0.5347727075140487,30.5,1842.0061233043673
635_fri_c0_250_10,0.326722378336208,-2.2378979180169005,0.8845860035151485,50.0,2332.5809873342514
637_fri_c1_500_50,0.3158038090407176,-2.308273721012487,0.9050570121665769,62.0,2014.2497658729553
641_fri_c1_500_10,0.3383466087236763,-2.1673688790768004,0.8874946942979358,65.0,2602.523319005966
643_fri_c2_500_25,0.3186921827891225,-2.2870688534004406,0.892920119059248,66.5,2108.3957105875015
644_fri_c4_250_25,0.2971749767966882,-2.426996864704689,0.9042371354853052,56.0,1937.8322926759722
645_fri_c3_500_50,0.30032823715640855,-2.4057586105199276,0.9092384124158857,53.0,1976.635397911072
646_fri_c3_500_10,0.27301090105435855,-2.596495177460765,0.9139694987018856,62.0,2511.8046547174454
647_fri_c1_250_10,0.3143869913799908,-2.3163267189809726,0.8972083461866361,63.5,2318.9721438884735
648_fri_c1_250_50,0.3446041704121051,-2.1345763644127245,0.8843968805325818,60.5,1841.182248711586
649_fri_c0_500_5,0.29508442521720857,-2.4423801394325446,0.9063272713018375,50.0,3396.863223552704
650_fri_c0_500_50,0.30345878927707776,-2.3851245327058863,0.9102398852508773,50.0,2033.315423965454
651_fri_c0_100_25,0.5186087554428555,-1.3132382559037765,0.7317815868080638,38.0,1734.44620347023
653_fri_c0_250_25,0.2973232431381013,-2.4258710384017856,0.9082667324354321,50.0,1964.4146322011948
654_fri_c0_500_10,0.32910629728843244,-2.2227554628659485,0.8776563286363976,50.0,2658.211274266243
656_fri_c1_100_5,0.4915005071967873,-1.4211503548493385,0.7607933643624855,29.0,1968.4043052196503
657_fri_c2_250_10,0.3734121908042015,-1.9701462194977326,0.8574809636068161,66.0,2397.737809419632
658_fri_c3_250_25,0.33244909918874677,-2.202571937131167,0.8828281856370499,61.0,1941.6005734205246
659_sleuth_ex1714,1385.389183746675,14.465786740056561,0.6244428702280138,14.0,3530.269145488739
663_rabe_266,6.455523168917935,3.7294736919174456,0.9841428952970173,14.0,2564.4617632627487
665_sleuth_case2002,8.5765408647265,4.298026241279924,0.26145295857625384,18.0,2410.261763691902
666_rmftsa_ladata,1.6521351570301568,1.0041348416486067,0.6796662883011764,62.5,3552.793873667717
678_visualizing_environmental,3.0370222006958727,2.2216180058294257,0.1393791822272787,23.0,3590.635469555855
687_sleuth_ex1605,12.12523331630716,4.990303557802925,0.15458933719590534,15.5,3566.783012151718
690_visualizing_galaxy,27.870815480240346,6.654900410602544,0.9028598812941702,14.0,3552.229884505272
695_chatfield_4,20.09373853784229,6.000811823084076,0.8071007453981053,26.5,2056.9752262830734
706_sleuth_case1202,55.25606141269648,8.023618762593749,0.6204239972599803,17.0,2844.783421754837
712_chscase_geyser1,6.0353941435130425,3.594526687656571,0.7589847543330444,8.0,3730.603931427002
banana,0.5959934274053501,-1.035062150941727,0.6413698587788669,71.0,7685.3057181835175
titanic,0.7814622432519296,-0.4931861255689365,0.2866338733919773,26.0,4019.6942868232727
