dataset,random_seed,r2_train,r2_test
635_fri_c0_250_10,15795,0.9158793618461093,0.7402571782556752
1191_BNG_pbc,11284,0.33637754975909706,0.3412348787863153
690_visualizing_galaxy,860,0.9845229875542627,0.9671985691339228
1203_BNG_pwLinear,6265,0.6136038739192289,0.6069607932964987
584_fri_c4_500_25,29802,0.8697204693252737,0.8779567493963772
556_analcatdata_apnea2,23654,0.8865364665173198,0.8607899010662878
503_wind,860,0.7925333607358369,0.7770312075883568
598_fri_c0_1000_25,23654,0.9505853676136555,0.940564560896479
227_cpu_small,21575,0.9718049238153441,0.9706829885812136
651_fri_c0_100_25,860,0.7962328046558932,0.5221209102655612
603_fri_c0_250_50,6265,0.8816973605408773,0.8353403861460288
523_analcatdata_neavote,29802,0.9610950206388106,0.922468111939365
602_fri_c3_250_10,11284,0.9608358097361024,0.8471687388878653
624_fri_c0_100_5,5390,0.9047017439588224,0.8004239372573532
650_fri_c0_500_50,22118,0.8813530731194948,0.9027250200185302
594_fri_c2_100_5,29802,0.8419486639587104,0.7134305992493138
564_fried,11284,0.9594937122149042,0.959714398920247
561_cpu,23654,0.9998813947257822,0.997010863344518
646_fri_c3_500_10,15795,0.9039148022631197,0.8958355093383077
626_fri_c2_500_50,23654,0.8906499288623909,0.8453193897089413
564_fried,11964,0.959641448211714,0.9601927376186664
648_fri_c1_250_50,15795,0.7412152158595677,0.7472981509694957
665_sleuth_case2002,29802,0.5873016865600664,0.20865743197981823
1196_BNG_pharynx,15795,0.49477601659880843,0.48873334441603755
519_vinnie,29802,0.7983557281097793,0.6013956697701186
1027_ESL,29802,0.8997153160082593,0.8381362356932544
579_fri_c0_250_5,6265,0.9620597134645275,0.9489560322410975
659_sleuth_ex1714,29802,0.984671553748896,0.17621544869178973
659_sleuth_ex1714,23654,0.9839366794751672,0.6693026181631945
623_fri_c4_1000_10,21575,0.9522003972650643,0.951454387530649
titanic,22118,0.28351942913716055,0.32668805062350315
635_fri_c0_250_10,22118,0.9588654056725217,0.9531035096295191
644_fri_c4_250_25,11964,0.8627235868256963,0.6524575834250206
602_fri_c3_250_10,11964,0.9524723601986052,0.8908757171748414
218_house_8L,6265,0.6409900620165658,0.6460217338495279
622_fri_c2_1000_50,6265,0.8272933855306362,0.8009271995570698
597_fri_c2_500_5,29802,0.9530473516583263,0.9504103569774492
192_vineyard,21575,0.8867297875329667,0.21769949487729323
645_fri_c3_500_50,15795,0.7901942195831058,0.8207395247956129
197_cpu_act,21575,0.9808426532984871,0.9819106210945795
647_fri_c1_250_10,6265,0.9486839136709764,0.8943015260693773
561_cpu,11284,0.9997460826280131,0.9724066568047909
653_fri_c0_250_25,22118,0.934791545240398,0.8988014370216195
608_fri_c3_1000_10,6265,0.9518294873766422,0.9554513234909874
626_fri_c2_500_50,11284,0.8233033949661712,0.7404007097117133
547_no2,21575,0.5851761127797609,0.5893895981659909
646_fri_c3_500_10,11964,0.9537071998478603,0.9507628619168559
648_fri_c1_250_50,860,0.7479273708213191,0.656010744037202
banana,29802,0.6618056889603552,0.692767993454374
560_bodyfat,5390,0.9690610286064673,0.9965342637143895
564_fried,860,0.9597962123824859,0.960546578048828
678_visualizing_environmental,6265,0.6932884150245111,-0.06337986628417491
557_analcatdata_apnea1,6265,0.9575360418134689,0.8541874870913182
583_fri_c1_1000_50,11964,0.834010507997607,0.8405481629242578
617_fri_c3_500_5,22118,0.9642463300499471,0.9221287220990269
712_chscase_geyser1,11964,0.7734357552853867,0.7831157532384303
1199_BNG_echoMonths,5390,0.4513271070181679,0.4435183959301765
594_fri_c2_100_5,5390,0.8015604831713499,0.5001047387148604
505_tecator,21575,0.9962981282690841,0.9952542380397562
215_2dplanes,15795,0.9403178827027534,0.9389680883257644
597_fri_c2_500_5,11964,0.9492321654594307,0.9418452409466535
613_fri_c3_250_5,29802,0.947363036178726,0.9266369923176603
645_fri_c3_500_50,5390,0.8029512621640834,0.7547542921295258
597_fri_c2_500_5,5390,0.953290373123705,0.9218692271057007
649_fri_c0_500_5,11964,0.9641027980758513,0.9544375494427442
646_fri_c3_500_10,5390,0.9272792755247853,0.9351158139785807
617_fri_c3_500_5,860,0.9431067221677798,0.9416004415286107
560_bodyfat,29802,0.9939955017709711,0.9930181591457962
616_fri_c4_500_50,23654,0.7174639560607516,0.5851826185041366
665_sleuth_case2002,11284,0.5377730740831242,-515.3566029226512
579_fri_c0_250_5,21575,0.9639301298124759,0.9552711968942127
195_auto_price,29802,0.9294192084868668,0.727294214016892
663_rabe_266,6265,0.9992792627181668,0.9984215051492311
687_sleuth_ex1605,22118,0.8976556516395404,-0.14177331282492878
547_no2,11964,0.6419573629568401,0.09388167799595071
215_2dplanes,23654,0.9469391494544467,0.947919029725061
623_fri_c4_1000_10,860,0.9310519609431527,0.9261552987811709
1030_ERA,23654,0.4136697088132546,0.3570004531812446
523_analcatdata_neavote,860,0.9650892348142102,0.9072181113719358
706_sleuth_case1202,15795,0.8122992172564516,0.7275348829057142
1029_LEV,860,0.5722642154858145,0.5854689087878495
1027_ESL,6265,0.8910614444802478,0.8591658697140963
564_fried,6265,0.9594658527995644,0.9601986073651536
621_fri_c0_100_10,11964,0.8828244880690228,0.7034975964350222
294_satellite_image,6265,0.8347743359075761,0.8113479314269347
628_fri_c3_1000_5,15795,0.9483290059672704,0.9233544736860323
583_fri_c1_1000_50,11284,0.8758237054371146,0.8392114700063737
1089_USCrime,29802,0.9783010567334115,0.8386307159390416
1203_BNG_pwLinear,29802,0.6056933740809561,0.6054187195991627
556_analcatdata_apnea2,15795,0.9298517785327743,0.9143894433310217
1595_poker,21575,0.11498267171444432,0.09525062489114677
598_fri_c0_1000_25,21575,0.9220831397840556,0.905986205974568
623_fri_c4_1000_10,5390,0.9632636582819173,0.9417961842735766
663_rabe_266,5390,0.9995924503289264,0.9988298582720134
1199_BNG_echoMonths,860,0.45769973965572497,0.4458371143421773
626_fri_c2_500_50,21575,0.8173840442743223,0.8494851585094005
592_fri_c4_1000_25,6265,0.929677933099253,0.9240769899560588
712_chscase_geyser1,21575,0.7834884451752746,0.7476051350386912
583_fri_c1_1000_50,29802,0.8213389932647503,0.8128764674020167
659_sleuth_ex1714,21575,0.9799252608507745,0.6236815957192796
695_chatfield_4,860,0.9034449161738793,0.8578352058964713
595_fri_c0_1000_10,15795,0.9557243098326432,0.9525479571869806
4544_GeographicalOriginalofMusic,23654,0.7807858885032232,0.7753512815310248
646_fri_c3_500_10,29802,0.9460070903695523,0.9040556366168779
624_fri_c0_100_5,860,0.9197861712558311,0.8549759370046324
592_fri_c4_1000_25,11284,0.737971752325054,0.6682108246119305
678_visualizing_environmental,11284,0.5038521897767453,0.29311584451149253
227_cpu_small,5390,0.971435387456496,0.973608899364651
657_fri_c2_250_10,11284,0.9331408789544944,0.8863410917696434
556_analcatdata_apnea2,29802,0.9348998290919164,0.8126844720235935
197_cpu_act,11964,0.9815254266836391,0.9738758821062957
621_fri_c0_100_10,11284,0.8823384728495312,0.7816575508284634
588_fri_c4_1000_100,860,0.701614181093901,0.7103357018684032
657_fri_c2_250_10,860,0.8529224751680392,0.7933237586959653
556_analcatdata_apnea2,22118,0.954911160573208,0.8132519099641426
651_fri_c0_100_25,6265,0.8589933599800339,0.7792494562983674
637_fri_c1_500_50,21575,0.8716307588271255,0.7111088732233415
615_fri_c4_250_10,6265,0.9319536413210939,0.8551910785872308
611_fri_c3_100_5,23654,0.8996730066763783,0.9335946323520601
1201_BNG_breastTumor,5390,0.13516404859196007,0.12214476067073621
706_sleuth_case1202,11284,0.8413653304129993,0.6722352165886689
557_analcatdata_apnea1,22118,0.9024975089699421,0.8307016771272508
596_fri_c2_250_5,22118,0.9396386634764327,0.9290143210588672
583_fri_c1_1000_50,15795,0.7583484012376475,0.7857208201540735
581_fri_c3_500_25,860,0.9305150193550826,0.9177126990631068
195_auto_price,23654,0.966689776061493,0.8651839584649723
606_fri_c2_1000_10,860,0.9554443012293554,0.9493534335703274
653_fri_c0_250_25,11964,0.9650813099356059,0.9297094748250794
1089_USCrime,23654,0.9814419613119941,0.7160514342727422
1089_USCrime,6265,0.9759315935870136,0.7661108150868454
613_fri_c3_250_5,21575,0.9624123969668982,0.9233995633613215
218_house_8L,21575,0.648486926669398,0.5992197591807713
1028_SWD,11964,0.5238371933765809,0.2719785686456615
1030_ERA,11284,0.4252613386690346,0.30164454003207153
644_fri_c4_250_25,15795,0.9275199807732853,0.9519041647678419
596_fri_c2_250_5,11964,0.9368214559573125,0.907919339574897
604_fri_c4_500_10,5390,0.9468779401317962,0.9572750293191183
titanic,11284,0.2990376796627293,0.26408467528591006
523_analcatdata_neavote,11284,0.9480365067463407,0.9748353961225084
653_fri_c0_250_25,15795,0.9499081823625486,0.9104069162847155
529_pollen,29802,0.800486649042814,0.7835482436194634
1191_BNG_pbc,29802,0.34828215884276914,0.34029964792317413
titanic,11964,0.30786891878997946,0.25160335286946744
294_satellite_image,11964,0.8218102684319968,0.8231707765630651
626_fri_c2_500_50,860,0.7623939577819769,0.7159317406443232
657_fri_c2_250_10,11964,0.9271028340023314,0.9009551269069677
663_rabe_266,11284,0.999272144973148,0.9985803318352109
635_fri_c0_250_10,29802,0.9652646212727068,0.9398460466210362
505_tecator,11964,0.9961891219033632,0.9977277742716035
628_fri_c3_1000_5,860,0.9559505598942668,0.9548352121765462
505_tecator,29802,0.997736518277904,0.9969203907093753
227_cpu_small,860,0.9719117748771736,0.9721016473222953
666_rmftsa_ladata,860,0.7950312777664661,0.59708914246089
557_analcatdata_apnea1,11284,0.957113146621799,0.8482205017733028
542_pollution,29802,0.9726552218861307,-0.03882197597421011
665_sleuth_case2002,11964,0.43506104138203927,0.5147691381840263
1201_BNG_breastTumor,860,0.1366399973161474,0.12702850905207752
645_fri_c3_500_50,860,0.77488532443402,0.8348405309116778
599_fri_c2_1000_5,15795,0.9638631047137012,0.960666041145726
229_pwLinear,6265,0.9104451783750892,0.8862204651989156
560_bodyfat,11284,0.9912779272724057,0.9955602998866516
605_fri_c2_250_25,11284,0.8579905267090159,0.8259176253132627
650_fri_c0_500_50,23654,0.9192989165624603,0.9086648515571327
542_pollution,21575,0.9425060511395967,0.5593520185450145
597_fri_c2_500_5,23654,0.9553551199787395,0.9226566868929397
1028_SWD,21575,0.4964438902942797,0.3307665607771725
505_tecator,11284,0.997700910769498,0.9974548542557985
626_fri_c2_500_50,11964,0.8958758918502061,0.8966744366698383
653_fri_c0_250_25,29802,0.9060509737530733,0.7686719871779261
706_sleuth_case1202,5390,0.8760077017765235,0.45592298010155874
605_fri_c2_250_25,860,0.8991304437559237,0.48112943360600824
556_analcatdata_apnea2,6265,0.9241540275951803,0.8517151778892569
624_fri_c0_100_5,11964,0.8801085658602811,0.9061334430464485
633_fri_c0_500_25,6265,0.9262990105829524,0.9183752459811285
656_fri_c1_100_5,23654,0.8895784125549467,0.8111063320585904
1029_LEV,22118,0.5823464443294206,0.56294269894109
649_fri_c0_500_5,15795,0.962951055841743,0.9555637398537844
1028_SWD,860,0.48504584372008497,0.4405472058899663
230_machine_cpu,21575,0.9703815484713714,0.08938404355556007
230_machine_cpu,5390,0.9702081189063015,0.929331623268512
562_cpu_small,15795,0.9719385451195701,0.9711614632613917
527_analcatdata_election2000,5390,0.9994680822518904,0.9945239402434023
547_no2,15795,0.6427511768860581,0.342087834924493
643_fri_c2_500_25,23654,0.8900328204318068,0.8717234140992718
647_fri_c1_250_10,23654,0.9401688380602404,0.908699265921943
1089_USCrime,21575,0.9592336000997482,0.7930512041736738
599_fri_c2_1000_5,5390,0.9455032430875836,0.9555952817208884
1199_BNG_echoMonths,21575,0.4599087016873935,0.442528639514674
663_rabe_266,29802,0.9987472690445707,0.9957661385931377
503_wind,21575,0.7895073666238508,0.7899179386033888
650_fri_c0_500_50,11284,0.8837835444237832,0.8966966199885189
623_fri_c4_1000_10,22118,0.9487340893704967,0.9356176284459592
690_visualizing_galaxy,23654,0.9809898034496595,0.9678462754124653
659_sleuth_ex1714,15795,0.9910153225356716,-1.3386979056854185
titanic,29802,0.28264215212457733,0.304608200501427
606_fri_c2_1000_10,22118,0.9521134107125026,0.9507726822873896
583_fri_c1_1000_50,6265,0.8239321208838498,0.8250773309735763
631_fri_c1_500_5,11284,0.9484479493957096,0.949203283776078
574_house_16H,6265,0.4499324231067702,0.4446848906521321
505_tecator,860,0.9961177947293496,0.9894918686702845
628_fri_c3_1000_5,22118,0.9636991466116183,0.9553123473639834
627_fri_c2_500_10,860,0.9407207637335836,0.9528774338167711
645_fri_c3_500_50,21575,0.8711039584321449,0.6326522900514454
643_fri_c2_500_25,22118,0.855077666354195,0.8184858173956779
608_fri_c3_1000_10,22118,0.9474992354606376,0.8434147935032948
574_house_16H,860,0.5206151301668618,0.40572983719333633
542_pollution,5390,0.8747011342235719,-0.31794427012605375
1029_LEV,21575,0.5932275696323195,0.5079844418698825
591_fri_c1_100_10,860,0.7981482753586235,0.9040951084295282
602_fri_c3_250_10,22118,0.9136105151067444,0.88898444063495
618_fri_c3_1000_50,6265,0.7673862716438884,0.711959812040333
588_fri_c4_1000_100,29802,0.8061568912574896,0.7785505105327682
648_fri_c1_250_50,22118,0.8260399192904505,0.6376232888684508
562_cpu_small,5390,0.971435387456496,0.973608899364651
1201_BNG_breastTumor,21575,0.12590525775544548,0.11625532699197894
582_fri_c1_500_25,11964,0.9071155216379303,0.8980275902064576
564_fried,22118,0.9607061853526211,0.9599784120471683
594_fri_c2_100_5,23654,0.8199155847566985,0.7593048493181571
294_satellite_image,21575,0.8270459043275307,0.8162736892225153
594_fri_c2_100_5,6265,0.7924475366785021,0.6327681029396368
648_fri_c1_250_50,11284,0.881815670989455,0.8872776081238398
590_fri_c0_1000_50,11284,0.8903773888312241,0.8899968192731146
605_fri_c2_250_25,11964,0.8482195710320963,0.8480306874322334
192_vineyard,11284,0.9207307023094596,0.26219863657909503
653_fri_c0_250_25,6265,0.8961031713354549,0.8966934774417586
628_fri_c3_1000_5,11284,0.9428843877152889,0.9266478395838909
618_fri_c3_1000_50,29802,0.8211138456031011,0.8628374024593977
547_no2,22118,0.6446229940667751,0.33301741019163134
615_fri_c4_250_10,11964,0.9142423627508188,0.8280449242031014
1193_BNG_lowbwt,15795,0.5985234232839772,0.589253793376476
695_chatfield_4,23654,0.9230991739602823,0.7817177171805753
598_fri_c0_1000_25,860,0.9279810348057171,0.9271953473358989
192_vineyard,11964,0.7944110232264734,0.629427159867965
485_analcatdata_vehicle,29802,0.8940608708043993,0.5662800002572843
621_fri_c0_100_10,29802,0.8658788065965575,0.7556466167742478
579_fri_c0_250_5,22118,0.9364510371594762,0.9028526475884335
229_pwLinear,860,0.9075966365121608,0.8944738557310096
645_fri_c3_500_50,11284,0.8337903054020473,0.8393978973615992
663_rabe_266,21575,0.9991634845395082,0.9988025478222992
627_fri_c2_500_10,23654,0.9592740990553356,0.9563200259175724
1191_BNG_pbc,21575,0.3535946353274342,0.3436671079651713
620_fri_c1_1000_25,11284,0.9452249386405293,0.9500008855602444
628_fri_c3_1000_5,6265,0.9227880750438322,0.9173435475453796
4544_GeographicalOriginalofMusic,15795,0.7763173476770011,0.7943980607292978
658_fri_c3_250_25,11964,0.9102561988629367,0.8519949228985045
607_fri_c4_1000_50,23654,0.7684713794838843,0.7637843973906822
618_fri_c3_1000_50,5390,0.7399519341220017,0.6956962153929565
589_fri_c2_1000_25,6265,0.8553042171921786,0.8662762608511523
654_fri_c0_500_10,29802,0.9562170816484836,0.9549576496212134
616_fri_c4_500_50,15795,0.769541102847523,0.6833595275549652
522_pm10,5390,0.4285584915669439,0.11474236328573784
557_analcatdata_apnea1,11964,0.9442268189442892,0.8630029523421731
485_analcatdata_vehicle,860,0.9784070631557139,0.5767507591228651
579_fri_c0_250_5,29802,0.9611868234498132,0.9133290371382115
592_fri_c4_1000_25,5390,0.9114574501294117,0.898329690809206
1196_BNG_pharynx,23654,0.5056957731774279,0.48713827161985535
485_analcatdata_vehicle,6265,0.9076563889431395,-1.3823215651836436
654_fri_c0_500_10,22118,0.9574661275889058,0.9541206049821834
678_visualizing_environmental,23654,0.7296570302274368,0.20841720480770365
582_fri_c1_500_25,29802,0.9245255743625436,0.9299780679732382
1096_FacultySalaries,15795,0.9997836995700364,-0.29583242430415835
593_fri_c1_1000_10,11284,0.9510318353885706,0.9379012882502475
4544_GeographicalOriginalofMusic,22118,0.7936330028630976,0.6875979352361196
592_fri_c4_1000_25,860,0.9107170679249976,0.9016840759576722
590_fri_c0_1000_50,5390,0.8758786509572476,0.8859701392481216
titanic,5390,0.30086097247243415,0.2736357981923492
690_visualizing_galaxy,5390,0.978194949933558,0.9748091752360337
344_mv,11284,0.9999423832854495,0.9999284526808041
227_cpu_small,6265,0.9708221448939636,0.9732404873402175
560_bodyfat,11964,0.9940299604247523,0.9930275332233142
589_fri_c2_1000_25,5390,0.9255937656465596,0.8763286559258925
608_fri_c3_1000_10,15795,0.9275468391115052,0.9247353249949867
592_fri_c4_1000_25,23654,0.8798488027735164,0.8835215194498228
595_fri_c0_1000_10,21575,0.9560286826137352,0.9547901692543291
628_fri_c3_1000_5,21575,0.9396257654357477,0.9339295081062992
218_house_8L,860,0.6431088161923257,0.5985721336544843
1096_FacultySalaries,11284,0.9769121044808025,0.3187228900276574
634_fri_c2_100_10,23654,0.7495573081874183,0.7634805183645459
612_fri_c1_1000_5,860,0.9546130786085557,0.948495360904816
637_fri_c1_500_50,860,0.7412190369796958,0.7884566756808605
627_fri_c2_500_10,6265,0.9597991083162744,0.9408788213592972
626_fri_c2_500_50,6265,0.7473051479893189,0.706695591406624
706_sleuth_case1202,29802,0.9165694543951353,0.5183762279994244
658_fri_c3_250_25,23654,0.8524106142797272,0.9018594320063696
601_fri_c1_250_5,11284,0.9635204608650667,0.9127001877640014
631_fri_c1_500_5,29802,0.9487914206363359,0.9387513833319281
1595_poker,23654,0.11718050779143396,0.09686816862125713
649_fri_c0_500_5,6265,0.9638569761520801,0.952608236564413
503_wind,23654,0.7896665467977915,0.7866821318712085
banana,5390,0.6774341644246714,0.6512740168762086
658_fri_c3_250_25,6265,0.8568601405776032,0.6607038083462105
593_fri_c1_1000_10,5390,0.9568051415205456,0.9463295998696788
547_no2,23654,0.6216159851206018,0.4648987022333704
633_fri_c0_500_25,11284,0.9377838791624254,0.913425530736501
687_sleuth_ex1605,11964,0.903481908928321,-0.275241933969661
602_fri_c3_250_10,23654,0.9548492912910774,0.8933208472715494
620_fri_c1_1000_25,23654,0.9499545803156846,0.9461623331256676
1028_SWD,5390,0.5177601118874685,0.3463134305562706
1028_SWD,23654,0.4826878809169952,0.37843137060336385
1089_USCrime,5390,0.9868160483215224,0.6056633976287086
621_fri_c0_100_10,15795,0.8627043086102166,0.8093831918835117
645_fri_c3_500_50,11964,0.8303150185835056,0.8243564008826498
590_fri_c0_1000_50,21575,0.9199183010126174,0.9089674382223052
344_mv,860,0.9998444010490671,0.9998111465311865
1196_BNG_pharynx,6265,0.4702544562839843,0.4880603878408224
613_fri_c3_250_5,11964,0.9522264513761426,0.8155644619550273
4544_GeographicalOriginalofMusic,29802,0.7928579655055132,0.7353178876737848
598_fri_c0_1000_25,5390,0.9673476955175493,0.9504877017846165
604_fri_c4_500_10,21575,0.9496677641075313,0.9379832817396025
1191_BNG_pbc,6265,0.33854794217587214,0.3430991147581066
1203_BNG_pwLinear,15795,0.6131712667732236,0.6001198681365669
195_auto_price,5390,0.9537086111010125,0.8492991778279453
225_puma8NH,11284,0.6925075600190247,0.6749616613038603
586_fri_c3_1000_25,11284,0.9125356293813185,0.8948452343284807
574_house_16H,23654,0.4956738763300288,0.4378374884419447
653_fri_c0_250_25,5390,0.9265437357948841,0.8764110754743388
607_fri_c4_1000_50,860,0.8137951314987107,0.747378246552693
621_fri_c0_100_10,21575,0.8973732651227734,0.6986532778658798
647_fri_c1_250_10,11284,0.9469198936379546,0.8735897420558401
633_fri_c0_500_25,860,0.9075358353223001,0.9220716300103526
635_fri_c0_250_10,6265,0.9647409534547466,0.9243358722470494
597_fri_c2_500_5,6265,0.9264884339192426,0.8874263426764142
229_pwLinear,5390,0.8913059194220596,0.8591009618210884
579_fri_c0_250_5,860,0.9634800844145982,0.9478011359729338
581_fri_c3_500_25,29802,0.8571323529098365,0.8332490498819234
595_fri_c0_1000_10,23654,0.9560400676390269,0.94795031462882
505_tecator,5390,0.9972193869804877,0.9960026198973333
586_fri_c3_1000_25,21575,0.8259278888583652,0.8585401592816249
648_fri_c1_250_50,5390,0.829085242449522,0.7472876695215929
644_fri_c4_250_25,6265,0.8825976307388472,0.8077664531344917
612_fri_c1_1000_5,11964,0.950389525509368,0.9456205573843424
547_no2,11284,0.6490523343974084,0.404700522445653
712_chscase_geyser1,11284,0.7729171105410881,0.7850548880288053
344_mv,21575,0.9996201324730759,0.9996108135485776
586_fri_c3_1000_25,29802,0.9425641427957938,0.9483639981817727
344_mv,23654,0.9999305571824157,0.9999375799940514
618_fri_c3_1000_50,11284,0.7819198579721546,0.7208668987091726
593_fri_c1_1000_10,6265,0.9512007685237452,0.9530135205000851
666_rmftsa_ladata,22118,0.757445411206182,0.6770023081590955
597_fri_c2_500_5,11284,0.9430484330651738,0.9352560442842976
1028_SWD,15795,0.4901162832836159,0.35415890544265094
612_fri_c1_1000_5,5390,0.9686611830536149,0.9710358623676615
562_cpu_small,860,0.9719117748771736,0.9721016473222953
527_analcatdata_election2000,860,0.9999854049704182,-52597833759493.62
561_cpu,11964,0.9998856726208281,0.9843484352260998
503_wind,6265,0.7925722092469081,0.7772916458508021
603_fri_c0_250_50,15795,0.9109002293858183,0.7865073952072622
1030_ERA,21575,0.40190648326391387,0.36990315824929765
624_fri_c0_100_5,15795,0.8911636313084851,0.7235288180448793
644_fri_c4_250_25,860,0.8833646058605834,0.765031292752187
1096_FacultySalaries,21575,0.9379308317568188,0.8384526846807037
597_fri_c2_500_5,22118,0.9511881777810202,0.9347569002058854
643_fri_c2_500_25,6265,0.8883513618282242,0.8696621693809491
560_bodyfat,6265,0.9932141637026611,0.998827113053637
527_analcatdata_election2000,11964,0.9999994195666373,0.9999974569967683
615_fri_c4_250_10,860,0.9214099714118147,0.8435159252624392
564_fried,23654,0.9609660128269873,0.9599030451487857
229_pwLinear,23654,0.892930938912304,0.8435336273065788
228_elusage,21575,0.8762266475223464,0.6457769264802893
1027_ESL,22118,0.900979571370953,0.8601931477761198
583_fri_c1_1000_50,21575,0.7960853590303894,0.8082231947366654
562_cpu_small,29802,0.9711191497510686,0.9752526706928965
1028_SWD,29802,0.5017804915654138,0.35223437861944085
615_fri_c4_250_10,23654,0.9112223807753487,0.8248239188245909
1203_BNG_pwLinear,22118,0.6019107572725788,0.5956668121434682
593_fri_c1_1000_10,22118,0.9446147567947157,0.9542777133027938
706_sleuth_case1202,22118,0.8519138640250956,-0.597654043814184
215_2dplanes,5390,0.9388944321294552,0.9387478474870032
227_cpu_small,11284,0.9731789592297031,0.9669403299911322
601_fri_c1_250_5,5390,0.9684620477375556,0.8989515299536978
617_fri_c3_500_5,21575,0.9580242998243416,0.9147695344390644
561_cpu,6265,0.9998191353463645,0.9764227995899432
197_cpu_act,29802,0.8590468252015786,0.9648807252068409
622_fri_c2_1000_50,11964,0.9352321478436315,0.9062184389750402
1201_BNG_breastTumor,11964,0.12748311831225745,0.12063991102468485
225_puma8NH,5390,0.6834012680737023,0.7013976999439786
618_fri_c3_1000_50,22118,0.8233175832679269,0.8216359385793235
608_fri_c3_1000_10,860,0.9401840746849479,0.9368578272837824
645_fri_c3_500_50,6265,0.8174367697263072,0.7323204914248176
633_fri_c0_500_25,11964,0.962009572931531,0.956140851804718
1595_poker,15795,0.09128270225558988,0.07253174537539409
659_sleuth_ex1714,860,0.9909011894980521,0.3394481808670553
588_fri_c4_1000_100,5390,0.6862909027875127,0.6511595646079921
1030_ERA,11964,0.40946597075587077,0.37335613073047047
665_sleuth_case2002,6265,0.4612288961444566,0.4002220864788799
627_fri_c2_500_10,21575,0.9338127978505986,0.9292421221387053
218_house_8L,29802,0.6610055318843151,0.6511014538911604
574_house_16H,21575,0.43346230342411585,0.3800818540866372
1199_BNG_echoMonths,29802,0.45076590021410223,0.4513492616804572
294_satellite_image,29802,0.8161698137569696,0.8146345677591912
653_fri_c0_250_25,21575,0.9518344728370536,0.9284854542555646
215_2dplanes,11964,0.9457540279831148,0.9441122566767943
606_fri_c2_1000_10,5390,0.9527718755792913,0.9351051777667971
690_visualizing_galaxy,11284,0.9833939803283667,0.9739875453797827
210_cloud,21575,0.9557210412924353,0.47655294490881694
596_fri_c2_250_5,21575,0.9274179294682454,0.9198017058387772
